qBF1Pd,MW4etd,UY7F9,AJB7ye,AJB7ye 2,W4Efsd,W4Efsd 2,doJOZc,W4Efsd 3,W4Efsd 4,W4Efsd 5,W4Efsd 6,ah5Ghc,M4A5Cf,ah5Ghc 2,M4A5Cf 2,ah5Ghc 3,J8zHNe,bbPy1
Kurtosshhh,4.3,-80,·,₹200–400,Cafe,·,,"D.No.6, 3-28, Dantu Vari St",,,,,,,,,,
Rajugari Vindhubojanam,3.9,-636,·,₹200–400,Biryani,·,,beside inodaya hospital,,Open,· Closes 11:30 pm,Dine-in,·,Takeaway,·,Delivery,Order online,
Surya's Den,4.0,-118,·,₹200–400,Restaurant,·,,"Dr no 24-5-22 beside collector office main gate, near Zilla Parishath center",,Closed,· Opens 11:30 am,Dine-in,·,Takeaway,·,Delivery,Order online,
82° EAST SRMT Mall & Multiplex,4.4,"-22,753",,,Shopping mall,·,,·,"4-21, Pithapuram - Kakinada Rd",Open,· Closes 10:30 pm,On-site services,,,,,,
NEW RAINBOW RESTAURANT,3.9,-148,·,"₹1–1,000",Restaurant,·,,"X6CM+V8J, Military Rd",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Cafe Sevenora,,,,,Cafe,·,,"Stadium Rd, opposite DSA second gate",,Open,· Closes 10:30 pm,,,,,,,
Seasons 5 restaurant,3.9,"-2,120",·,₹200–400,Karnataka restaurant,·,,"11-11-3, Nukalamma Temple St",,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Cafe Aroma,5.0,-1,,,Hotel,·,,beside durgamma temple,,,,"""Good in Taste""",,,,,,
E2 Restaurant,3.8,"-1,779",·,₹200–400,Biryani,·,,NFCL Rd,,Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
Metro cafe,5.0,-3,,,Tea store,·,,Jawaharlal Nehru Technological University,,,,,,,,,,
Doctors Food Plaza,4.1,-57,·,₹1–200,Organic,,,,,Closes soon,· 11:30 am · Reopens 6:30 pm,Dine-in,·,Takeaway,·,Delivery,,
KFC,4.2,"-6,525",·,"₹200–1,000",Restaurant,·,,·,"No 82, SRMT Mall & Multiplex, near Sarpavaram Juncttion",Opens soon,· 11 am,No-contact delivery,·,No dine-in,·,No takeaway,Order online,
"Pizza Hut | SRMT Mall, Kakinada",4.8,"-1,129",·,"₹200–1,000",Restaurant,·,,"82° EAST SRMT Mall & Multiplex, Pithapuram - Kakinada Rd",Casual pizza chain with wide selection,Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,,
Dolphin Garden Restaurant,3.7,-903,·,₹1–200,Biryani,·,,·,2-27-8,Opens soon,· 11 am,Dine-in,·,Takeaway,·,Delivery,,
Royyala Naidu Military Hotel,3.7,-827,·,"₹200–1,000",South Indian,·,,"2-1-50/1, Ground floor, Khaidi Plaza, Bhanugudi Jct, beside Khaidi Biryani",,Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,,
Desi Drool,4.3,-638,·,₹1–200,Fast Food,·,,·,"69-04-06, Pithapuram - Kakinada Rd, opposite boat club",,,"""Lovely atmosphere, lovely taste, very very reasonable Prices, lovely staff""",,,,,,
VAMSI FAST FOODS,3.6,"-1,899",·,₹1–200,Fast Food,·,,"D NO - 1-12-57, Military Rd, near MILINIUM APARTMENT",,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,,
Crispy Wings Kakinada,3.9,-44,·,₹200–400,Restaurant,·,,"Sri Chaitanya Junior College, RR Plaza, Dr no 3-16C-3/1, Shantinagar, Geo Colony, Opp:, next to Foundation Hospital",,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
Araku Coffee Shop,3.0,-1,,,Coffee shop,·,,"X6VR+9QG, Sarpavaram Jct, beside Visakha dairy retail outlet",,,,Takeaway,,,,,,
Naidu Gari Kunda Biryani,4.5,"-3,096",·,₹200–600,Biryani,·,,"1st Floor, 2-27-2, Gokul St",,,,"""Food is so delicious and atmosphere so cool and service was so good""",,,,,,
BHIMAS HOTEL KAKINADA,3.5,"-2,009",·,₹,South Indian,·,,"1, Bhaskar Nagar Rd",,Open,· Closes 11 pm,Dine-in,·,Takeaway,·,Delivery,,
Subbayya Gari Bojanam Hotel Old and Orignal | Famous Hotel in Kakinada,3.8,-315,·,₹200–400,Restaurant,·,,subbayya hotel junction,,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,,
"Svenska Design Hotel, Kakinada",3.8,-979,,,5-star hotel,·,,APIIC Industrial Park,Choice hotel with a spa & a rooftop pool,,,"""The service there are top notch and the food is very tasty and delicious""",,,,,,
Cothas Coffee Co - Kakinada,4.7,-3,,,Coffee store,·,,"33-2-8, Big, Market St, behind Mazid Road, opp. Ramalayam",,,,,,,,,,
Veerabhadra Restaurant,3.7,-244,·,₹1–200,Vegetarian,·,,"X6GH+W5V Karanam Gaari Junction, GPT Rd",,Open,· Closes 10:30 pm,Dine-in,·,Takeaway,,,Order online,
KFC,4.4,"-2,270",·,"₹200–1,000",Restaurant,·,,Ramasomayajulu St,Fried chicken restaurant chain,Opens soon,· 11 am,Dine-in,·,Drive-through,·,No-contact delivery,Order online,
"Domino's Pizza | Kakinada, East Godavari",4.1,-425,·,₹1–800,Pizza,·,,·,"Revenue Ward No 10, Ground Floor D No 12, 5 14, Ramasomayajulu St",Opens soon,· 11 am,Dine-in,·,Takeaway,·,No-contact delivery,Order online,
SURI BABU KODI PULAO _ NAGAMALLI THOTA @KAKINADA,4.4,-188,·,₹200–400,Restaurant,·,,"70-2-28/A, Rd Number 4, beside hp petrol bunk",,Opens soon,· 11 am,Drive-through,·,No-contact delivery,,,Order online,
